block,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
B1,"0 (0, 0)","0 (0, 0)","1 (1, 0)","10 (7, 3)","9 (7, 2)","8 (7, 1)","9 (7, 2)","4 (3, 1)","8 (6, 2)","5 (4, 1)","6 (4, 2)","10 (8, 2)","9 (6, 3)","5 (2, 3)","8 (7, 1)","9 (7, 2)","7 (5, 2)","6 (4, 2)","4 (2, 2)","3 (2, 1)","9 (6, 3)","0 (0, 0)","7 (6, 1)","6 (2, 4)","12 (8, 4)","0 (0, 0)","1 (0, 1)","0 (0, 0)"
B2,"0 (0, 0)","0 (0, 0)","1 (1, 0)","10 (7, 3)","9 (7, 2)","8 (7, 1)","9 (7, 2)","4 (3, 1)","8 (6, 2)","5 (4, 1)","6 (4, 2)","10 (8, 2)","9 (6, 3)","5 (2, 3)","8 (7, 1)","9 (7, 2)","7 (5, 2)","6 (4, 2)","4 (2, 2)","3 (2, 1)","9 (6, 3)","0 (0, 0)","7 (6, 1)","6 (2, 4)","12 (8, 4)","0 (0, 0)","1 (0, 1)","0 (0, 0)"
B3,"1 (1, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","2 (1, 1)","1 (1, 0)","1 (0, 1)","1 (0, 1)","3 (3, 0)","3 (2, 1)","1 (0, 1)","0 (0, 0)","0 (0, 0)","1 (1, 0)","0 (0, 0)","1 (1, 0)","1 (1, 0)","3 (3, 0)","2 (2, 0)","0 (0, 0)","5 (2, 3)","1 (1, 0)","1 (1, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","12 (9, 3)"
B4,"1 (1, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","2 (1, 1)","1 (1, 0)","1 (0, 1)","1 (0, 1)","3 (3, 0)","3 (2, 1)","1 (0, 1)","0 (0, 0)","0 (0, 0)","1 (1, 0)","0 (0, 0)","1 (1, 0)","1 (1, 0)","3 (3, 0)","2 (2, 0)","0 (0, 0)","5 (2, 3)","1 (1, 0)","1 (1, 0)","0 (0, 0)","0 (0, 0)","0 (0, 0)","12 (9, 3)"
